tweet,country_code,geo_location,bounding_box,screen_name,favourites_count,followers_count,statuses_count,friends_count,listed_count,user_described_location,created_at,utc_offset
"@sherryontopp 2014 sidhu was @narendramodi ji's man and 2019 Rahul's fan...useless person, No loyalty, no credibility..kicked out of #BJP, Kapil Sharma saw.. @smritiirani ji is hundred times genius than you...",IN,"Mumbai, India","[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]",chetanaupadhya2,15209,2879,4076,1474,2,"Maharashtra, India",Sat May 04 10:29:18 +0000 2019,
"This Person #Inspiration for All of Us...
#Vote4Modi #votekarindia

#1stindianvoter #shyamsharannegi #buttondabaodeshbanao #firstvoter #shimla #VoteForBJP #voteformodi #BJP  #votekarindia #thelallantop #rsabhishekpandit https://t.co/ImsuynKn92",IN,Railway Station,"[[[82.31234580795714, 25.54829617128369], [82.31234580795714, 25.54829617128369], [82.31234580795714, 25.54829617128369], [82.31234580795714, 25.54829617128369]]]",rsabhipandey,40,5,5,30,0,"Noida, India",Sat May 04 09:58:44 +0000 2019,
No one can do it. #FaniCyclone #modi #bjp #india #politics https://t.co/OtH10T3yxO,IN,"Ahmadabad City, India","[[[72.4367386, 22.9232559], [72.7037246, 22.9232559], [72.7037246, 23.1046616], [72.4367386, 23.1046616]]]",Trendinginahme1,6,2,33,5,0,"Ahmadabad City, India",Sat May 04 08:32:04 +0000 2019,
"@akhileshsharma1 #Modi’s name continues to evoke hope among people &amp; #BJP supporters. His position on nationalism has several backers, and @narendramodi has managed to convince his supporters that there are “#AchcheDin” (good days) ahead, if they have not arrived as yet.",IN,"New Delhi, India","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]",ramnivaskumar,19548,353,16455,93,45,New Delhi,Sat May 04 08:22:45 +0000 2019,
"Well said. India Inc, @INCIndia liberalised economy, so don’t fall for the juvenile #BJP propaganda that we don’t favour reforms. In fact, under us expect a robust economy and greater global integration. Crony capitalism is #Modi’s prerogative only. https://t.co/FIwMaah9Vz",IN,"Mumbai, India","[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]",JhaSanjay,21800,397467,59354,2970,966,Mumbai.India,Sat May 04 08:01:40 +0000 2019,
"Ok lets say #BJP shouldn't politicize but then #Congress also by saying about it now clearly means to politicize. If these were true, then congress should have retaliated at that time when #BJP told about Pulwama that guys we also did it. Not 1 but 6. Why tell now?? https://t.co/3mdKo0fCEu",IN,"Bengaluru South, India","[[[77.3305776, 12.731936], [77.7863188, 12.731936], [77.7863188, 13.1142933], [77.3305776, 13.1142933]]]",shobhan03,1362,955,21018,512,84,"Bengaluru, India",Sat May 04 07:57:25 +0000 2019,
"@aajtak @sherryontopp @ashokasinghal2 Are you still working for #BJP #Congress.
You are always #marketing #Modi.
Never talked about #Khandani #chors.
Talk what good if anything done by the #scams #performing Cangrass",IN,"Rajkot, India","[[[70.694641, 22.04699], [71.097384, 22.04699], [71.097384, 22.477865], [70.694641, 22.477865]]]",kumardhanak,2226,578,2482,245,3,India,Sat May 04 07:41:59 +0000 2019,
Why do the Gods make kings and queens if not to protect the ones who cant protect themselves?George R.R. Martin #LokSabhaElection2019 #modi #NarendraModi #AayegaToModiHi #BJP_भगाओ_देश_बचाओ #bjp #CongressHaiNa #saveindiafrommodi #SoTrue #IndiaElections2019  https://t.co/0rNCcivlFf,US,Tanner Smiths,"[[[-73.98147583007812, 40.7642822265625], [-73.98147583007812, 40.7642822265625], [-73.98147583007812, 40.7642822265625], [-73.98147583007812, 40.7642822265625]]]",vijayparihar,66,60,23,116,1,New York,Sat May 04 06:59:55 +0000 2019,
"#Delhi #LokSabhaElections2019 likely to go in favour of #Congress as both #BJP and #AAP have failed to address the killer #Polultion , traffic congestion, traders problem, law and order problem, aspersions of youth.",IN,"Faridabad, India","[[[77.149786, 28.156842], [77.551977, 28.156842], [77.551977, 28.505585], [77.149786, 28.505585]]]",KhoranaR,4541,53,11036,140,7,,Sat May 04 06:21:37 +0000 2019,
"#RajanTiwari joins #BJP , only to find that still he has to learn a lot  ! https://t.co/557IBnkpqA",IN,"Daskroi, India","[[[72.430081, 22.797559], [72.843275, 22.797559], [72.843275, 23.164295], [72.430081, 23.164295]]]",HirenAntani,6405,2506,17392,2273,50,"Ahmedabad, India",Sat May 04 05:57:11 +0000 2019,
