tweet,country_code,geo_location,bounding_box,screen_name,favourites_count,followers_count,statuses_count,friends_count,listed_count,user_described_location,created_at,utc_offset
@Pikplum @JerryNadler I think #CONGRESS  is harassing our #PRESIDENT&amp; OUR #AGBarr,US,"Sun City Center, FL","[[[-82.3902961, 27.670431], [-82.335169, 27.670431], [-82.335169, 27.7491067], [-82.3902961, 27.7491067]]]",pgfry,10580,210,5496,344,4,"Sun City Center, FL",Thu May 02 14:10:18 +0000 2019,
"Why is  Attorney General Barr so scared to face proper oversight and questioning from #Congress?   Barr shown himself to be Trump's new fixer, chicken, coward, and disgrace!  American  Constitutional Democracy is at risk",US,"Salt Lake City, UT","[[[-112.0383105, 40.6998952], [-111.795741, 40.6998952], [-111.795741, 40.8317151], [-112.0383105, 40.8317151]]]",PoliticalUte76,2290,767,23837,157,52,"Salt Lake City, Utah, USA",Thu May 02 14:09:08 +0000 2019,
@IndiaToday @RahulGandhi You should come out and apologise on behalf of your family&amp; #congress party who failed to protect #Sikhs in #1984 .You obviously won’t because it was a pre planned massacre,GB,"Hounslow, London","[[[-0.457966, 51.420633], [-0.243419, 51.420633], [-0.243419, 51.502851], [-0.457966, 51.502851]]]",harchetan_khosa,1133,39,279,435,0,"England, United Kingdom",Thu May 02 14:06:47 +0000 2019,
#CONGRESS you are not doing your job. You are harassing our #PRESIDENT&amp; OUR #AGBarr. Get off your high horse &amp;  do something about the border. Stop your harrassment.,US,"Sun City Center, FL","[[[-82.3902961, 27.670431], [-82.335169, 27.670431], [-82.335169, 27.7491067], [-82.3902961, 27.7491067]]]",pgfry,10580,210,5496,344,4,"Sun City Center, FL",Thu May 02 14:02:17 +0000 2019,
"House lawmakers speak after Attorney General Barr refused to appear befo... https://t.co/at8qu9FYx2 via @YouTube
#Congress #ImpeachTrump",GU,"Adacao, GU","[[[144.832882, 13.46106], [144.8570821, 13.46106], [144.8570821, 13.4996104], [144.832882, 13.4996104]]]",ritafebamba,194,0,115,7,0,"Wilson, New York",Thu May 02 13:38:40 +0000 2019,
Barr is such a punk! #Congress,US,"Brooklyn, NY","[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]",MrsJames_,342,8,668,226,0,"Brooklyn, NY",Thu May 02 13:24:58 +0000 2019,
#Barr skips the hearing and #Congress implodes.. Never give into a temper tantrum of a child. https://t.co/wrH8CuXgEC,US,"San Diego, CA","[[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]]",CatholicForLife,46402,7384,79205,3379,252,"San Diego, CA",Thu May 02 13:23:01 +0000 2019,
"Translation : ""I don't have an idea of what the people want, nor do I care. All I want is NYAY for the #Congress politicians to be corrupt unhindered. If #Aadhaar has to be remove for it. So be it."" https://t.co/HhE7i1IPmv",IN,"New Delhi, India","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]",MadCapProf,4374,301,24124,184,4,"New Delhi, India",Thu May 02 12:49:18 +0000 2019,
"@AOC *cue Contempt of Congress charges*

#Barr #BarrTestimony #BarrLied #BarrHearing #Congress",CA,"Toronto, Ontario","[[[-79.639319, 43.403221], [-78.90582, 43.403221], [-78.90582, 43.855401], [-79.639319, 43.855401]]]",Food_Nomad,2281,295,7797,321,24,Toronto,Thu May 02 12:39:53 +0000 2019,
"#SP #BSP alliance and #Congress going to sweep #UttarPradesh, says #RahulGandhi . He says his party is supporting #Gathbandhan where there is weak Congress candidate. #LokSabhaElections2019",IN,"Lucknow, India","[[[80.658613, 26.642291], [81.110202, 26.642291], [81.110202, 27.008048], [80.658613, 27.008048]]]",Saurabhjr,17938,1410,17286,1240,34,Lucknow,Thu May 02 12:36:17 +0000 2019,
